Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),4.0
Picture to Burn,Taylor Swift (Debut),2.0
Teardrops on My Guitar,Taylor Swift (Debut),2.0
A Place in This World,Taylor Swift (Debut),2.0
Cold as You,Taylor Swift (Debut),4.0
The Outside,Taylor Swift (Debut),4.0
Tied Together with a Smile,Taylor Swift (Debut),2.0
Stay Beautiful,Taylor Swift (Debut),2.0
Should’ve Said No,Taylor Swift (Debut),2.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),4.0
Our Song,Taylor Swift (Debut),4.0
I’m Only Me When I’m with You,Taylor Swift (Debut),2.0
Invisible,Taylor Swift (Debut),2.0
A Perfectly Good Heart,Taylor Swift (Debut),8.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),10.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),2.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),2.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),2.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),4.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),4.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),8.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),2.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),2.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),4.0
Change (Taylor’s Version),Fearless (Taylor’s Version),2.0
Jump Then Fall (Taylor’s Version),Fearless (Taylor’s Version),2.0
Untouchable (Taylor’s Version),Fearless (Taylor’s Version),2.0
Come In With The Rain (Taylor’s Version),Fearless (Taylor’s Version),2.0
Superstar (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor’s Version),2.0
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor’s Version),2.0
You All Over Me (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),4.0
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),8.0
That’s When (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),10.0
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),2.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),10.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Ours (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Superman (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Electric Touch (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
When Emma Falls in Love  (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),2.0
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),8.0
Castles Crumbling (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),2.0
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),8.0
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),8.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),8.0
Red (Taylor’s Version),Red (Taylor’s Version),4.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),10.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),4.0
22 (Taylor’s Version),Red (Taylor’s Version),2.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),4.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),4.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),4.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),4.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),2.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),3.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),2.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),2.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),4.0
The Moment I Knew (Taylor’s Version),Red (Taylor’s Version),10.0
Come Back...Be Here (Taylor’s Version),Red (Taylor’s Version),2.0
Girl At Home (Taylor’s Version),Red (Taylor’s Version),2.0
Ronan (Taylor’s Version),Red (Taylor’s Version),4.0
Better Man (Taylor’s Version) (From The Vault),Red (Taylor’s Version),10.0
Nothing New (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Babe (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Message In A Bottle (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
I Bet You Think About Me (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Forever Winter (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Run (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
The Very First Night (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
All Too Well (10 Minute Version) (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Welcome To New York,1989 (Deluxe),2.0
Blank Space,1989 (Deluxe),2.0
Style,1989 (Deluxe),2.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
Shake It Off,1989 (Deluxe),10.0
I wish You Would,1989 (Deluxe),8.0
Bad Blood,1989 (Deluxe),2.0
Wildest Dreams,1989 (Deluxe),10.0
How You Get The Girl,1989 (Deluxe),4.0
This Love,1989 (Deluxe),2.0
I Know Places,1989 (Deluxe),2.0
Clean,1989 (Deluxe),4.0
Wonderland,1989 (Deluxe),4.0
You are in Love,1989 (Deluxe),2.0
New Romantics,1989 (Deluxe),2.0
...Ready For It?,reputation,2.0
End Game,reputation,2.0
I Did Something Bad,reputation,2.0
Don’t Blame Me,reputation,3.0
Delicate,reputation,10.0
Look What You Made Me Do,reputation,4.0
So It Goes…,reputation,2.0
Gorgeous,reputation,10.0
Getaway Car,reputation,4.0
King Of My Heart,reputation,2.0
Dancing With Our Hands Tied,reputation,2.0
Dress,reputation,10.0
This Is Why We Can’t Have Nice Things,reputation,10.0
Call It What You Want,reputation,2.0
New Year’s Day,reputation,4.0
I Forgot That You Existed,Lover,8.0
Cruel Summer,Lover,2.0
Lover,Lover,2.0
The Man,Lover,10.0
The Archer,Lover,4.0
I Think He Knows,Lover,2.0
Miss Americana & The Heartbreak Prince,Lover,2.0
Paper Rings,Lover,10.0
Cornelia Street,Lover,4.0
Death By a Thousand Cuts,Lover,2.0
London Boy,Lover,2.0
Soon You’ll Get Better,Lover,10.0
False God,Lover,4.0
You Need To Calm Down,Lover,2.0
Afterglow,Lover,2.0
ME!,Lover,2.0
It’s Nice To Have A Friend,Lover,10.0
Daylight,Lover,8.0
the 1,folklore,8.0
cardigan,folklore,2.0
the last great american dinasty,folklore,4.0
exile,folklore,4.0
my tears ricochet,folklore,4.0
mirrorball,folklore,2.0
seven,folklore,3.0
august,folklore,4.0
this is me trying,folklore,4.0
illicit affairs,folklore,2.0
invisible string,folklore,4.0
mad woman,folklore,4.0
epiphany,folklore,2.0
betty,folklore,8.0
peace,folklore,8.0
hoax,folklore,8.0
the lakes,folklore,3.0
willow,evermore,10.0
champagne problems,evermore,4.0
gold rush,evermore,2.0
