Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),8.0
Picture to Burn,Taylor Swift (Debut),8.0
Teardrops on My Guitar,Taylor Swift (Debut),3.0
A Place in This World,Taylor Swift (Debut),4.0
Cold as You,Taylor Swift (Debut),4.0
The Outside,Taylor Swift (Debut),3.0
Tied Together with a Smile,Taylor Swift (Debut),3.0
Stay Beautiful,Taylor Swift (Debut),3.0
Should’ve Said No,Taylor Swift (Debut),3.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),3.0
Our Song,Taylor Swift (Debut),3.0
I’m Only Me When I’m with You,Taylor Swift (Debut),4.0
Invisible,Taylor Swift (Debut),2.0
A Perfectly Good Heart,Taylor Swift (Debut),10.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),6.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),4.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),4.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),2.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),3.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),4.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),8.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),4.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),8.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),2.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),3.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),3.0
Change (Taylor’s Version),Fearless (Taylor’s Version),3.0
Jump Then Fall (Taylor’s Version),Fearless (Taylor’s Version),3.0
Untouchable (Taylor’s Version),Fearless (Taylor’s Version),2.0
Come In With The Rain (Taylor’s Version),Fearless (Taylor’s Version),3.0
Superstar (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor’s Version),3.0
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor’s Version),2.0
You All Over Me (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),8.0
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),4.0
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
That’s When (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),3.0
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),4.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Ours (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Superman (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Electric Touch (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
When Emma Falls in Love  (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
Castles Crumbling (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
