Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),7.0
Picture to Burn,Taylor Swift (Debut),8.0
Teardrops on My Guitar,Taylor Swift (Debut),7.0
A Place in This World,Taylor Swift (Debut),1.0
Cold as You,Taylor Swift (Debut),7.0
The Outside,Taylor Swift (Debut),2.0
Tied Together with a Smile,Taylor Swift (Debut),8.0
Stay Beautiful,Taylor Swift (Debut),1.0
Should’ve Said No,Taylor Swift (Debut),8.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),9.0
Our Song,Taylor Swift (Debut),7.0
I’m Only Me When I’m with You,Taylor Swift (Debut),2.0
Invisible,Taylor Swift (Debut),1.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),4.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),8.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),7.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),2.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),7.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),2.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),2.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),2.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),1.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),1.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),8.0
Change (Taylor’s Version),Fearless (Taylor’s Version),8.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),8.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),8.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),2.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),8.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),8.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),9.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),1.0
Red (Taylor’s Version),Red (Taylor’s Version),9.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),9.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),8.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),9.0
22 (Taylor’s Version),Red (Taylor’s Version),4.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),2.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),2.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),4.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),8.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),4.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),1.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),8.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),1.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),8.0
Welcome To New York,1989 (Deluxe),4.0
Blank Space,1989 (Deluxe),7.0
Style,1989 (Deluxe),8.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
