Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),7.0
Picture to Burn,Taylor Swift (Debut),6.0
Teardrops on My Guitar,Taylor Swift (Debut),7.0
A Place in This World,Taylor Swift (Debut),4.0
Cold as You,Taylor Swift (Debut),3.0
The Outside,Taylor Swift (Debut),4.0
Tied Together with a Smile,Taylor Swift (Debut),7.0
Stay Beautiful,Taylor Swift (Debut),7.0
Should’ve Said No,Taylor Swift (Debut),3.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),3.0
Our Song,Taylor Swift (Debut),1.0
I’m Only Me When I’m with You,Taylor Swift (Debut),4.0
Invisible,Taylor Swift (Debut),7.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),7.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),7.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),7.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),7.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),4.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),7.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),4.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),7.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),3.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),3.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),3.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),7.0
Change (Taylor’s Version),Fearless (Taylor’s Version),3.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),7.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),7.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),3.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),4.0
Red (Taylor’s Version),Red (Taylor’s Version),7.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),10.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),7.0
22 (Taylor’s Version),Red (Taylor’s Version),7.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),7.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),4.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),3.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),3.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),4.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),1.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),7.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),7.0
Starlight (Taylor’s Version),Red (Taylor’s Version),7.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),7.0
Welcome To New York,1989 (Deluxe),5.0
Blank Space,1989 (Deluxe),7.0
Style,1989 (Deluxe),3.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
Shake It Off,1989 (Deluxe),6.0
I wish You Would,1989 (Deluxe),4.0
Bad Blood,1989 (Deluxe),6.0
Wildest Dreams,1989 (Deluxe),10.0
How You Get The Girl,1989 (Deluxe),7.0
This Love,1989 (Deluxe),3.0
I Know Places,1989 (Deluxe),4.0
Clean,1989 (Deluxe),3.0
...Ready For It?,reputation,4.0
End Game,reputation,7.0
I Did Something Bad,reputation,6.0
Don’t Blame Me,reputation,6.0
Delicate,reputation,7.0
Look What You Made Me Do,reputation,7.0
So It Goes…,reputation,3.0
Gorgeous,reputation,3.0
Getaway Car,reputation,1.0
King Of My Heart,reputation,7.0
Dancing With Our Hands Tied,reputation,6.0
Dress,reputation,10.0
This Is Why We Can’t Have Nice Things,reputation,10.0
Call It What You Want,reputation,7.0
New Year’s Day,reputation,3.0
I Forgot That You Existed,Lover,3.0
Cruel Summer,Lover,7.0
Lover,Lover,4.0
The Man,Lover,6.0
The Archer,Lover,4.0
I Think He Knows,Lover,7.0
Miss Americana & The Heartbreak Prince,Lover,6.0
Paper Rings,Lover,7.0
Cornelia Street,Lover,3.0
Death By a Thousand Cuts,Lover,7.0
London Boy,Lover,7.0
Soon You’ll Get Better,Lover,7.0
False God,Lover,10.0
You Need To Calm Down,Lover,7.0
Afterglow,Lover,7.0
ME!,Lover,7.0
It’s Nice To Have A Friend,Lover,10.0
Daylight,Lover,7.0
the 1,folklore,4.0
cardigan,folklore,3.0
the last great american dinasty,folklore,3.0
exile,folklore,3.0
my tears ricochet,folklore,3.0
mirrorball,folklore,7.0
seven,folklore,7.0
august,folklore,3.0
this is me trying,folklore,4.0
illicit affairs,folklore,7.0
invisible string,folklore,7.0
mad woman,folklore,6.0
epiphany,folklore,7.0
betty,folklore,7.0
peace,folklore,4.0
hoax,folklore,4.0
willow,evermore,6.0
champagne problems,evermore,7.0
gold rush,evermore,7.0
