Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),4.0
Picture to Burn,Taylor Swift (Debut),4.0
Teardrops on My Guitar,Taylor Swift (Debut),1.0
A Place in This World,Taylor Swift (Debut),4.0
Cold as You,Taylor Swift (Debut),4.0
The Outside,Taylor Swift (Debut),4.0
Tied Together with a Smile,Taylor Swift (Debut),4.0
Stay Beautiful,Taylor Swift (Debut),1.0
Should’ve Said No,Taylor Swift (Debut),2.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),4.0
Our Song,Taylor Swift (Debut),4.0
I’m Only Me When I’m with You,Taylor Swift (Debut),1.0
Invisible,Taylor Swift (Debut),1.0
A Perfectly Good Heart,Taylor Swift (Debut),1.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),4.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),4.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),4.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),1.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),4.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),4.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),2.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),2.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),4.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),4.0
Change (Taylor’s Version),Fearless (Taylor’s Version),4.0
Jump Then Fall (Taylor’s Version),Fearless (Taylor’s Version),4.0
Untouchable (Taylor’s Version),Fearless (Taylor’s Version),4.0
Come In With The Rain (Taylor’s Version),Fearless (Taylor’s Version),2.0
Superstar (Taylor’s Version),Fearless (Taylor’s Version),4.0
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor’s Version),2.0
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor’s Version),9.0
You All Over Me (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),9.0
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),4.0
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),4.0
That’s When (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor’s Version),2.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),1.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),1.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Ours (Taylor’s Version),Speak Now (Taylor’s Version),6.0
Superman (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Electric Touch (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),4.0
When Emma Falls in Love  (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),4.0
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),2.0
Castles Crumbling (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),9.0
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),1.0
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),9.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),4.0
Red (Taylor’s Version),Red (Taylor’s Version),4.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),9.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),9.0
22 (Taylor’s Version),Red (Taylor’s Version),1.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),2.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),4.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),2.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),4.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),4.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),4.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),4.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),1.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),4.0
The Moment I Knew (Taylor’s Version),Red (Taylor’s Version),4.0
Come Back...Be Here (Taylor’s Version),Red (Taylor’s Version),2.0
Girl At Home (Taylor’s Version),Red (Taylor’s Version),2.0
Ronan (Taylor’s Version),Red (Taylor’s Version),4.0
Better Man (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Nothing New (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Babe (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Message In A Bottle (Taylor’s Version) (From The Vault),Red (Taylor’s Version),1.0
I Bet You Think About Me (Taylor’s Version) (From The Vault),Red (Taylor’s Version),1.0
Forever Winter (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Run (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
The Very First Night (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
All Too Well (10 Minute Version) (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Welcome To New York,1989 (Deluxe),5.0
Blank Space,1989 (Deluxe),4.0
Style,1989 (Deluxe),4.0
Out Of The Woods,1989 (Deluxe),9.0
All You Had To Do Was Stay,1989 (Deluxe),2.0
Shake It Off,1989 (Deluxe),5.0
I wish You Would,1989 (Deluxe),2.0
Bad Blood,1989 (Deluxe),1.0
Wildest Dreams,1989 (Deluxe),4.0
How You Get The Girl,1989 (Deluxe),4.0
This Love,1989 (Deluxe),4.0
I Know Places,1989 (Deluxe),4.0
Clean,1989 (Deluxe),9.0
Wonderland,1989 (Deluxe),4.0
You are in Love,1989 (Deluxe),9.0
New Romantics,1989 (Deluxe),9.0
...Ready For It?,reputation,4.0
End Game,reputation,1.0
I Did Something Bad,reputation,6.0
Don’t Blame Me,reputation,4.0
Delicate,reputation,6.0
Look What You Made Me Do,reputation,4.0
So It Goes…,reputation,4.0
Gorgeous,reputation,6.0
Getaway Car,reputation,4.0
King Of My Heart,reputation,9.0
Dancing With Our Hands Tied,reputation,9.0
Dress,reputation,9.0
This Is Why We Can’t Have Nice Things,reputation,4.0
Call It What You Want,reputation,4.0
New Year’s Day,reputation,9.0
I Forgot That You Existed,Lover,4.0
Cruel Summer,Lover,4.0
Lover,Lover,4.0
The Man,Lover,4.0
The Archer,Lover,4.0
I Think He Knows,Lover,1.0
Miss Americana & The Heartbreak Prince,Lover,4.0
Paper Rings,Lover,4.0
Cornelia Street,Lover,4.0
Death By a Thousand Cuts,Lover,9.0
London Boy,Lover,4.0
Soon You’ll Get Better,Lover,1.0
False God,Lover,6.0
You Need To Calm Down,Lover,2.0
Afterglow,Lover,1.0
ME!,Lover,1.0
It’s Nice To Have A Friend,Lover,4.0
Daylight,Lover,4.0
the 1,folklore,4.0
cardigan,folklore,4.0
the last great american dinasty,folklore,9.0
exile,folklore,4.0
my tears ricochet,folklore,9.0
mirrorball,folklore,9.0
seven,folklore,4.0
august,folklore,9.0
this is me trying,folklore,4.0
illicit affairs,folklore,4.0
invisible string,folklore,9.0
mad woman,folklore,4.0
epiphany,folklore,9.0
betty,folklore,4.0
peace,folklore,9.0
hoax,folklore,9.0
the lakes,folklore,9.0
willow,evermore,9.0
champagne problems,evermore,9.0
gold rush,evermore,9.0
'tis the damn season,evermore,4.0
tolerate it,evermore,4.0
"no body, no crime",evermore,4.0
happiness,evermore,9.0
dorothea,evermore,1.0
coney island,evermore,9.0
ivy,evermore,9.0
cowboy like me,evermore,1.0
long story short,evermore,9.0
marjorie,evermore,9.0
closure,evermore,2.0
evermore,evermore,9.0
right where you left me,evermore,9.0
it’s time to go,evermore,4.0
Lavender Haze,Midnights,1.0
Maroon,Midnights,9.0
Anti-Hero,Midnights,9.0
Snow On The Beach,Midnights,1.0
You’re On Your Own Kid,Midnights,9.0
Midnight Rain,Midnights,4.0
Question…?,Midnights,4.0
Vigilante Shit,Midnights,4.0
